two_theta_deg,experimental,fitted
3.105,116176,57650.301274881378
3.1099999999999999,112328,56720.29624572047
3.1150000000000002,109904,55699.650794158413
3.1200000000000001,106188,54595.83976441728
3.125,103770,53416.688700753162
3.1299999999999999,99519.699999999997,52170.316533626326
3.1349999999999998,96787.699999999997,50865.077133620784
3.1400000000000001,92837.699999999997,49509.500158561219
3.145,89132.800000000003,48112.231618144957
3.1499999999999999,84163.800000000003,46681.974576382148
3.1549999999999998,81154.800000000003,45227.430405262807
3.1600000000000001,77887.800000000003,43757.240993405154
3.165,74161.800000000003,42279.932301067056
3.1699999999999999,69877.800000000003,40803.859637918889
3.1749999999999998,66822.800000000003,39337.155022498475
3.1800000000000002,63356.800000000003,37887.676962432117
3.1850000000000001,60215.800000000003,36462.962972463909
3.1899999999999999,56722.800000000003,35070.18512325795
3.1949999999999998,53616.800000000003,33716.108888013245
3.2000000000000002,50797.800000000003,32407.055526360593
3.2050000000000001,47274.800000000003,31148.868216011906
3.21,44992.800000000003,29946.882112433635
3.2149999999999999,42587.900000000001,28805.898485657155
3.2200000000000002,39616.900000000001,27730.163051467247
3.2250000000000001,38106.900000000001,26723.348581879731
3.23,35926.900000000001,25788.541847287466
3.2349999999999999,34368.900000000001,24928.23491017894
3.2400000000000002,32795.900000000001,24144.320758173053
3.2450000000000001,31382.900000000001,23438.093232518542
3.25,30100.900000000001,22810.251177424405
3.2549999999999999,29088.900000000001,22260.906705853631
3.2599999999999998,28213.900000000001,21789.597448951885
3.2650000000000001,28037.900000000001,21395.302629305956
3.27,27541.900000000001,21076.462772928509
3.2749999999999999,27610.900000000001,20831.002851421414
3.2799999999999998,27310.900000000001,20656.358624338427
3.2850000000000001,27759.900000000001,20549.505932483247
3.29,27763.900000000001,20506.992675856724
3.2949999999999999,28641.900000000001,20524.973195297822
3.2999999999999998,28966.900000000001,20599.244764616029
3.3050000000000002,29519.900000000001,20725.28589023319
3.3100000000000001,29947.900000000001,20898.296108063085
3.3149999999999999,31467.900000000001,21113.236962557541
3.3199999999999998,32297.900000000001,21364.873850517106
3.3250000000000002,33724.900000000001,21647.818412359647
3.3300000000000001,34656.900000000001,21956.571156000813
3.335,36258.900000000001,22285.56400324537
3.3399999999999999,36896.900000000001,22629.202455522933
3.3450000000000002,37940.900000000001,22981.907084812919
3.3500000000000001,39556.900000000001,23338.15406656839
3.355,40654.900000000001,23692.514484230574
3.3599999999999999,41805.900000000001,24039.692149379476
3.3650000000000002,42950.900000000001,24374.559697538385
3.3700000000000001,43852.900000000001,24692.192736981644
3.375,45217.900000000001,24987.901846421573
3.3799999999999999,45757.900000000001,25257.2622370061
3.3849999999999998,47421.900000000001,25496.140914474621
3.3900000000000001,47554.900000000001,25700.721198428779
3.395,48748.900000000001,25867.524477310119
3.3999999999999999,48772.900000000001,25993.429099674071
3.4049999999999998,49920.900000000001,26075.686324549381
3.4100000000000001,49839.800000000003,26111.933275916366
3.415,50380.900000000001,26100.202868477376
3.4199999999999999,50308.800000000003,26038.930693781069
3.4249999999999998,50787.800000000003,25926.958877261506
3.4300000000000002,50401.800000000003,25763.536937730587
3.4350000000000001,50212.900000000001,25548.319701193752
3.4399999999999999,50245.800000000003,25281.362340425872
3.4449999999999998,50163.800000000003,24963.112630438682
3.4500000000000002,49160.800000000003,24594.400527689697
