two_theta_deg,experimental_intensity,fitted_intensity
1.3540000000000001,893306.5625,330496.55895115429
1.3560000000000001,891483.375,371663.37504363793
1.3580000000000001,888904.3125,413944.6400237059
1.3600000000000001,885870.375,456671.57694878604
1.3620000000000001,882666.8125,499197.89088722283
1.3640000000000001,877846.875,540906.50550876348
1.3660000000000001,874049.9375,581215.48990169156
1.3680000000000001,869629,619583.17161162081
1.3700000000000001,864250.9375,655512.44936276763
1.3720000000000001,857436.9375,688554.33276798856
1.3740000000000001,850395,718310.74660442071
1.3760000000000001,841526.9375,744436.6441291268
1.3780000000000001,834568,766641.47775552049
1.3799999999999999,825621,784690.07660688111
1.3820000000000001,813143.0625,798402.97946019482
1.3839999999999999,802667,807656.26886266586
1.3860000000000001,790954.0625,812380.94821570744
1.3879999999999999,779628.0625,812561.8988280677
1.3900000000000001,766893.0625,808236.44876235281
1.3919999999999999,751263.0625,799492.58011788607
1.3940000000000001,737529,786466.79654358665
1.3959999999999999,723126,769341.66854444833
1.3980000000000001,707959,748343.07077035273
1.3999999999999999,692520.9375,723737.12314164394
1.4020000000000001,676634.9375,695826.84650327906
1.4039999999999999,662690.875,664948.543587605
1.4060000000000001,646332.875,631467.91742828407
1.4079999999999999,631707.8125,595775.94197385595
1.4100000000000001,614601.75,558284.50341254217
1.4119999999999999,600181.75,519421.83549985674
1.4140000000000001,586688.75,479627.7777828956
1.4159999999999999,570934.0625,439348.89180117234
1.4180000000000001,559944.1875,399033.4768253988
1.4199999999999999,547692.3125,359126.53316071094
1.4220000000000002,534952.5,320064.7271444709
1.4239999999999999,523425.625,282271.41736880032
1.4260000000000002,514781.75,246151.80601010594
1.4279999999999999,505949.875,212088.28214085379
1.4300000000000002,499176.90625,180436.02525863156
1.4319999999999999,491247.03125,151518.93678415747
1.4340000000000002,484319,125625.96481476445
1.4359999999999999,481594.96875,103007.88292398759
1.4380000000000002,479237.84375,83874.577313970512
1.4399999999999999,478067.59375,68392.888294850229
1.4420000000000002,475591.4375,56685.042115876349
1.444,473863.34375,48827.697920159022
1.4460000000000002,475048.28125,44851.622419972198
1.448,479676.28125,44741.992221511282
1.4500000000000002,481803.28125,48439.311020572619
1.452,485485.28125,55840.916598748925
1.4540000000000002,488563.28125,66803.041104132295
1.456,493907.3125,81143.377886224596
1.4580000000000002,502202.28125,98644.099492258712
1.46,509194.21875,119055.26456136572
1.4620000000000002,514490.34375,142098.54642799997
1.464,523935.3125,167471.21332671706
1.4660000000000002,530578.3125,194850.28915083664
1.468,538931.25,223896.82464799343
1.4700000000000002,546924.25,254260.21155896521
1.472,553689.375,285582.47628861625
1.4740000000000002,559457.4375,317502.49496839038
1.476,569627.4375,349660.07793446153
1.4780000000000002,577243.375,381699.87840632442
1.48,585186.25,413275.08721648343
1.4820000000000002,591516.375,444050.88254525966
1.484,595807.3125,473707.61051742011
1.4860000000000002,602148.3125,501943.67902010464
1.488,607863.25,528478.15304564708
1.4900000000000002,610225.1875,553053.04513451224
1.492,613311.125,575435.29901835206
1.4940000000000002,614935.0625,595418.46830981551
1.496,616959.0625,612824.09505493497
1.4980000000000002,618672,627502.79519034899
1.5,619569,639335.05948863318
1.5020000000000002,615997.9375,648231.77951036522
1.504,613586.9375,654134.50850339211
1.506,612696.875,657015.46720174619
1.508,606974.875,656877.30418601818
1.51,603223.875,653752.61998289055
1.512,598207.8125,647703.26350982976
1.514,591647.75,638819.40891224483
1.516,584675.75,627218.42038630624
1.518,580695.8125,613043.51231255196
1.52,571116.8125,596462.21201128699
1.522,563870.75,577664.63272465859
1.524,556174.6875,556861.56506950373
1.526,544045.6875,534282.3962103799
1.528,538325.75,510172.8673757778
1.53,528831.875,484792.68206582067
1.532,519737,458412.97934228496
1.534,511494.3125,431313.68889722228
1.536,501858.46875,403780.78709509468
1.538,493151.5625,376103.47578803886
1.54,486521.8125,348571.30831586331
1.542,478950.8125,321471.28961224208
1.544,472332.875,295084.97963072342
1.546,465591.9375,269685.6312624428
1.548,459677,245535.39542804562
1.55,454334.96875,222882.62698521762
1.552,450128,201959.32540972903
1.554,444635,182978.74381100733
1.556,443374.03125,166133.19868488656
1.5580000000000001,442318.03125,151592.11086595093
1.5600000000000001,440698.96875,139500.30542824816
1.5620000000000001,440577.90625,129976.59483557552
1.5640000000000001,441445.78125,123112.66553022809
1.5660000000000001,441173.6875,118972.2834691747
1.5680000000000001,443605.46875,117590.82899081278
1.5700000000000001,446119.3125,118975.16596454788
1.5720000000000001,450656.25,123103.84459413719
1.5740000000000001,454595.21875,129927.63167485301
